date,cash,value
2026-02-11,819665.311448465,1871690.0956634386
2026-02-12,819665.311448465,1906730.958673845
2026-02-13,819665.311448465,1911353.1345876558
2026-02-16,948327.7074903351,1918097.136320482
2026-02-17,948327.7074903351,1913009.666407953
2026-02-18,948327.7074903351,1918578.6757310731
2026-02-19,1078276.1957525117,1888354.076405893
2026-02-20,1078276.1957525117,1892410.389386545
2026-02-23,1078276.1957525117,1898616.7868417604
2026-02-24,1078276.1957525117,1892066.1803335054
2026-02-25,1078276.1957525117,1876078.9107736452
2026-02-26,1078276.1957525117,1882385.2161477907
2026-02-27,1078276.1957525117,1881916.5430177553
2026-03-02,1078276.1957525117,1871588.8886026246
2026-03-03,948819.6795499142,1847283.5739819822
2026-03-04,948819.6795499142,1828118.7985989866
2026-03-05,1125542.1449506101,1840426.83068822
2026-03-06,1125542.1449506101,1836520.0111539182
2026-03-09,1125542.1449506101,1813978.9479596433
2026-03-10,1125542.1449506101,1833971.2052686033
2026-03-11,1125542.1449506101,1840184.4844128904
2026-03-12,1125542.1449506101,1847033.322158557
2026-03-13,1125542.1449506101,1848988.5448071775
2026-03-16,1125542.1449506101,1829246.4011456785
2026-03-17,1215816.046839363,1843350.1097589796
2026-03-18,1215816.046839363,1846222.8309046095
2026-03-19,1215816.046839363,1834434.2498956984
2026-03-23,1215816.046839363,1836161.7613779372
2026-03-24,1215816.046839363,1832502.5102793043
2026-03-25,1215816.046839363,1827658.6077600783
2026-03-26,1215816.046839363,1816945.7955576247
2026-03-27,1215816.046839363,1807297.615664131
2026-03-30,1215816.046839363,1804510.3661142653
2026-03-31,1215816.046839363,1809468.4552027052
2026-04-01,1215816.046839363,1823806.921106941
2026-04-02,817900.8014665907,1834833.3638178175
2026-04-03,817900.8014665907,1829277.4175134962
2026-04-06,817900.8014665907,1841741.458532936
2026-04-07,817900.8014665907,1840152.3821131056
2026-04-08,817900.8014665907,1870571.3761659926
2026-04-09,817900.8014665907,1881953.8887392348
2026-04-10,817900.8014665907,1895960.2338625258
2026-04-13,950684.5514665907,1908690.5327364272
2026-04-14,950684.5514665907,1903220.5924364394
2026-04-15,1037345.0035372808,1911189.9514933662
2026-04-16,1037345.0035372808,1909882.7345172004
2026-04-17,1037345.0035372808,1911140.5956393317
2026-04-20,1037345.0035372808,1906647.990483387
2026-04-21,1037345.0035372808,1903572.429658039
2026-04-22,1037345.0035372808,1907765.6818438605
2026-04-22,1037345.0035372808,1907765.6818438605
2026-04-24,1037345.0035372808,1918683.8466540412
2026-04-27,1037345.0035372808,1924052.767460926
