factor,signal_date,date,n_stocks,raw_ic,rank_ic
momentum,2006-05-31,2006-06-30,53,-0.1717035740271286,-0.17231091759393644
momentum,2006-06-30,2006-07-31,53,-0.2650379971981844,-0.23480083857442346
momentum,2006-07-31,2006-08-31,54,0.07975352622871441,0.0871902417670919
momentum,2006-08-31,2006-09-30,54,-0.1324711387759093,-0.14518772631980176
momentum,2006-09-30,2006-10-31,54,-0.05613925838907331,-0.06415094339622641
momentum,2006-10-31,2006-11-30,54,0.37117087051046355,0.12277491900133408
momentum,2006-11-30,2006-12-31,55,-0.09624834301300808,-0.19369036241178372
momentum,2006-12-31,2007-01-31,55,-0.060039019275881705,-0.013564213564213567
momentum,2007-01-31,2007-02-28,55,-0.1975034948414892,-0.1584415584415585
momentum,2007-02-28,2007-03-31,55,0.11844194612313491,0.08863226849254109
momentum,2007-03-31,2007-04-30,55,0.02046526104417816,-0.01075055466543333
momentum,2007-04-30,2007-05-31,56,0.05617040022743263,0.04309711376421729
momentum,2007-05-31,2007-06-30,56,0.20634260205845703,0.31700564469148335
momentum,2007-06-30,2007-07-31,56,0.002948681775459728,-0.05933014354066986
momentum,2007-07-31,2007-08-31,56,0.29437746547822047,0.26582365003417635
momentum,2007-08-31,2007-09-30,56,0.020250572707554048,-0.07963089542036911
momentum,2007-09-30,2007-10-31,56,0.4051272918184511,0.4483937115516063
momentum,2007-10-31,2007-11-30,56,-0.028720060023234077,-0.02433356117566644
momentum,2007-11-30,2007-12-31,56,0.2396012765507913,0.31685435504207654
momentum,2007-12-31,2008-01-31,56,0.3935297412121974,0.21995898838004102
momentum,2008-01-31,2008-02-29,56,0.400892600112211,0.2542763889022812
momentum,2008-02-29,2008-03-31,57,0.4408405733921444,0.03882614121168966
momentum,2008-03-31,2008-04-30,57,0.05516551806648954,-0.19088669950738918
momentum,2008-04-30,2008-05-31,57,0.5196832365663238,0.3483925330567799
momentum,2008-05-31,2008-06-30,58,0.3252598526998392,0.10806238272478391
momentum,2008-06-30,2008-07-31,60,-0.5164946691330373,-0.46201722700750214
momentum,2008-07-31,2008-08-31,60,0.05875438230630155,-0.39979993392849045
momentum,2008-08-31,2008-09-30,60,-0.02647327659912344,0.09041400388996945
momentum,2008-09-30,2008-10-31,60,-0.028397513057033235,0.10486246179494306
momentum,2008-10-31,2008-11-30,60,0.1346107129736988,0.16354542928591279
momentum,2008-11-30,2008-12-31,61,-0.43211782638998536,-0.3523843520185272
momentum,2008-12-31,2009-01-31,62,0.07845661403090684,0.06998060990657501
momentum,2009-01-31,2009-02-28,62,0.04381146127048532,-0.01979549705918243
momentum,2009-02-28,2009-03-31,62,-0.2229129698614776,-0.2563773261816625
momentum,2009-03-31,2009-04-30,62,-0.4249483674218359,-0.4284707008133767
momentum,2009-04-30,2009-05-31,62,-0.26520938421433266,-0.2549671375689356
momentum,2009-05-31,2009-06-30,63,0.1135133486476585,0.0837183626015859
momentum,2009-06-30,2009-07-31,63,0.00840006239854218,0.03091434949278745
momentum,2009-07-31,2009-08-31,63,-0.12541684596619293,-0.2786578341013825
momentum,2009-08-31,2009-09-30,63,8.310677571698556e-05,-0.06648744667062924
momentum,2009-09-30,2009-10-31,63,-0.03358450343870202,-0.0753349039811153
momentum,2009-10-31,2009-11-30,63,0.14059864946124567,-0.03597873438640403
momentum,2009-11-30,2009-12-31,63,0.033757800678662235,0.13035390690631107
momentum,2009-12-31,2010-01-31,63,-0.11403830097486949,-0.16518650107843694
momentum,2010-01-31,2010-02-28,63,-0.14485511583082522,-0.15632388062618374
momentum,2010-02-28,2010-03-31,63,0.0685455649229064,-0.03009792626728111
momentum,2010-03-31,2010-04-30,63,-0.289234007726312,-0.29997119815668205
momentum,2010-04-30,2010-05-31,63,0.0583522873175238,0.05097926267281106
momentum,2010-05-31,2010-06-30,63,0.022885935253612287,0.07510170773519562
momentum,2010-06-30,2010-07-31,63,0.10577110857569545,0.09931835637480799
momentum,2010-07-31,2010-08-31,63,0.11834291417515584,0.06802851773715911
momentum,2010-08-31,2010-09-30,63,0.03580392860213201,0.11165514592933949
momentum,2010-09-30,2010-10-31,63,0.07155053473834914,-0.08316632064635755
momentum,2010-10-31,2010-11-30,63,0.07891945464730551,0.04435537101139069
momentum,2010-11-30,2010-12-31,63,0.030297965815671467,0.020977342549923193
momentum,2010-12-31,2011-01-31,63,-0.061568719454352105,0.09394201228878649
momentum,2011-01-31,2011-02-28,63,0.2668827627497278,0.26128072196620583
momentum,2011-02-28,2011-03-31,63,0.21134414684400715,0.08611751152073732
momentum,2011-03-31,2011-04-30,63,0.0975498801232343,0.19527649769585254
momentum,2011-04-30,2011-05-31,63,0.32047446175111305,0.24774385560675885
momentum,2011-05-31,2011-06-30,64,0.25508900305763066,0.21840659340659338
momentum,2011-06-30,2011-07-31,65,0.226841490097928,0.170849768910646
momentum,2011-07-31,2011-08-31,65,0.21372226975193986,0.24029720279720282
momentum,2011-08-31,2011-09-30,65,-0.18324069951480665,-0.21354895104895102
momentum,2011-09-30,2011-10-31,65,-0.15372554129813312,-0.10502622377622377
momentum,2011-10-31,2011-11-30,66,0.1313266455762883,0.2417492954806388
momentum,2011-11-30,2011-12-31,66,0.5705727826947745,0.4000459247261503
momentum,2011-12-31,2012-01-31,68,-0.4667047001582041,-0.42917127915410164
momentum,2012-01-31,2012-02-29,68,-0.4948942564485659,-0.5000190861549032
momentum,2012-02-29,2012-03-31,69,-0.23657373121171185,-0.234455923063517
momentum,2012-03-31,2012-04-30,69,0.08304530149375303,0.2559371574716844
momentum,2012-04-30,2012-05-31,69,0.08720139525259435,0.10970140392678976
momentum,2012-05-31,2012-06-30,69,-0.3981231717584857,-0.2982827913774206
momentum,2012-06-30,2012-07-31,69,-0.2653606683034325,-0.01931122690070639
momentum,2012-07-31,2012-08-31,69,-0.1544034803141816,-0.11297040555352578
momentum,2012-08-31,2012-09-30,70,-0.19158645827327592,-0.16341207411621914
momentum,2012-09-30,2012-10-31,70,0.17969793546309598,0.20396129699468754
momentum,2012-10-31,2012-11-30,70,-0.035955741360066254,-0.09712271125129977
momentum,2012-11-30,2012-12-31,70,0.12791409283246377,0.08571428571428572
momentum,2012-12-31,2013-01-31,70,-0.05420195453384575,-0.06011775101053251
momentum,2013-01-31,2013-02-28,70,0.23924879460898654,0.20338657703020926
momentum,2013-02-28,2013-03-31,70,0.33041863328026977,0.29722943951307523
momentum,2013-03-31,2013-04-30,70,0.33080565390622874,0.27470912431108385
momentum,2013-04-30,2013-05-31,70,-0.059926855731801,-0.06895284751990202
momentum,2013-05-31,2013-06-30,71,0.018520239173384676,-0.004728370221327967
momentum,2013-06-30,2013-07-31,71,0.13257897255576762,0.13924008190532056
momentum,2013-07-31,2013-08-31,71,-0.08464562253071874,-0.039738430583500996
momentum,2013-08-31,2013-09-30,71,-0.027827332441853564,-0.029678068410462773
